what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892382828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892383000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892383968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451892384765
activated,view,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.ccvs.ui.RepositoriesView",1451892389500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892398328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892402328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892405484
error,log,,,"Error while tracking project-level changes from a change in R/",1451892407156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892408187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892408562
error,log,,,"Error while tracking project-level changes from a change in R/",1451892411312
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1451892413046
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1451892413140
error,log,,,"Cannot get version of GWT SDK ""\\BPOAdminTool Graph\\war\\WEB-INF\\lib"", ensure it is configured properly",1451892413640
error,log,,,"Error while tracking project-level changes from a change in R/",1451892413671
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1451892414171
error,log,,,"Cannot get version of GWT SDK ""\\BPOAdminTool Graph\\war\\WEB-INF\\lib"", ensure it is configured properly",1451892414796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892416515
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1451892418171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892468125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892468125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892468484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892596171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451892597421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1451892597843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892601921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892608234
activated,view,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.ccvs.ui.RepositoriesView",1451892609203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892625515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892627359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451892627718
