what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.designer.wizards,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.wizards",1451893517453
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1451893521484
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1451893521562
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1451893521718
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1451893521843
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1451893522093
started,bundle,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.oophm",1451893522140
opened,view,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.DevModeView",1451893523656
activated,view,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.DevModeView",1451893523687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893523687
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1451893524359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893526531
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451893526562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893527500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893527531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893527812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893534328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893534718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893534750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893534796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893539546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893540515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893556218
activated,view,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.DevModeView",1451893556765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893558578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893558578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893558640
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451893562218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893562234
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451893562234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893565531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893566875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893630156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893651140
started,bundle,org.eclipse.wb.os,1.5.0.r37x201206111201,"org.eclipse.wb.os",1451893651921
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206111201,"org.eclipse.wb.os.win32",1451893651984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451893653203
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1451893653312
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1451893657421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1451893657578
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451893664015
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1451893664062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893664484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893684812
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1451893686578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1451893686609
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1451893698921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893699109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893699312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893699515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893699734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893699921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893700140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893700343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893700562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893700796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893702421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893702765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893702859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451893703062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893705093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893705093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893705187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893793906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893797390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451893905875
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451893907140
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1451893910718
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1451893910765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451894007062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451894009687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451894011562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451894011562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451894011671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451894030250
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1451894031078
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1451894031125
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1451894031218
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1451894031234
