what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206111201,"org.eclipse.wb.os.win32",1452060403640
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1452060411187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060429421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060431187
executed,command,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui.commit",1452060431203
closed,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1452060431687
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1452060467031
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452060467046
started,bundle,com.google.gdt.eclipse.designer.wizards,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.wizards",1452060470390
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1452060471718
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1452060472921
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1452060473015
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1452060473296
started,bundle,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.oophm",1452060473343
opened,view,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.DevModeView",1452060474093
activated,view,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.DevModeView",1452060474218
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1452060475187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060496953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060524593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060526984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060528765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060547328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060548031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060578140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060579046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060580250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060580250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060580937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060581281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060587296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060590781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060596359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060600078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060609468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060609812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060609812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060609906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060615578
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452060615640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060617953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060620390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060620406
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452060627500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060627515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452060627515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452060714578
started,bundle,org.eclipse.wb.core.xml,1.5.0.r37x201206111216,"org.eclipse.wb.core.xml",1452060716046
opened,editor,com.google.gwt.eclipse.core,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1452060717015
activated,editor,com.google.gwt.eclipse.core,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1452060717250
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1452060745562
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1452060745781
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1452060746250
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1452060746437
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1452060746812
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1452060746812
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1452060747843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452060748468
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1452060748640
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1452060748765
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1452060748796
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1452060748828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1452060755734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452060758437
activated,view,com.google.gwt.eclipse.oophm,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.DevModeView",1452060758921
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452060760546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060761609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060782156
activated,editor,com.google.gwt.eclipse.core,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1452060785078
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452060785390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060806468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060812046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1452060818312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060820359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060820359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060820453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060826812
activated,editor,com.google.gwt.eclipse.core,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1452060829984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060831375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060839031
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1452060839046
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452060851562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060854968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060856359
executed,command,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui.commit",1452060856390
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1452060868421
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1452060869750
started,bundle,com.google.gdt.eclipse.platform.shared,3.6.0.v201406262229-rel-r37,"com.google.gdt.eclipse.platform.shared",1452060873671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060876015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452060876890
executed,command,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui.commit",1452060876906
activated,editor,com.google.gwt.eclipse.core,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1452060877406
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452060884531
activated,editor,com.google.gwt.eclipse.core,3.6.0.v201406262229-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1452060888453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452061026671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452061026671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452061026765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452061051656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452061052046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452061054375
